TRACTCE,date_Opened,docket_number,problem code,Process Type,Type of Eviction,Result,Is Section 8 Client?,Other subsidized housing?,Originally a no-cause case?,language,gender,race,marital,veteran_household,disabled,disabled person in household,female-headed household?,seniors in household?,occupation,poverty,income,income1,adults,children,number of persons in household,client_age,ageRange,main benefit,city,zip,special problem code 2,special problem code 3,
600100,12/27/2013,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,,Yes,No,,English,M,Hispanic & American Indian/Alaska Native,D,No,Yes,Yes,Unknown,Unknown,Not Employed,77.49,11724,Social Security Benefits (All Types),2,0,2,49,Adult,601 Educated clients on rights,Brisbane,94005,,,
600100,5/9/2014,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,,Yes,No,,English,F,Other,Unknown,No,No,Unknown,Unknown,Unknown,Employed,142.76,21600,Employment or Self-Employment,2,0,2,41,Adult,601 Educated clients on rights,Brisbane,94005,6105 Sec. 8 UD Business decision,,
602400,12/3/2012,CLJ206903,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,Pay and stay,Yes,No,,Tagalog,F,Asian: Filipino,S,No,No,Unknown,Unknown,Unknown,Not Employed,156.18,36000,Employment or Self-Employment,4,0,4,25,Adult,609 UD-obtained dismissal,South San Francisco,94080,6989 Facing Eviction (legacy code),,
602600,3/26/2013,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,Move,Yes,No,,English,M,Hispanic & White,D,No,Yes,Yes,Unknown,Unknown,Not Employed,21.49,2400,Food Stamps (CalFresh),1,0,1,56,Adult,602 Extended time in home before eviction,South San Francisco,94080,,,
602700,5/5/2015,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,,Yes,No,,English,F,Black/African American,S,No,Yes,Yes,Yes,Unknown,Could Not Determine,96.26,10752,SSI,1,0,1,50,Adult,601 Educated clients on rights,Pacifica,94044,,,
606000,6/16/2014,CLJ209658,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,Move,Yes,No,,English,F,Black/African American,S,No,No,Unknown,Yes,Unknown,Not Employed,61.34,6852,General Assistance,1,3,4,31,Adult,602 Extended time in home before eviction,San Mateo,94401,,,
606200,4/29/2014,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,Pay and stay,Yes,No,,English,F,American Indian/Alaska Native,M,No,Yes,Yes,Unknown,Yes,Employed,245.87,37200,Employment or Self-Employment,2,0,2,64,Senior (60+),609 UD-obtained dismissal,San Mateo,94401,6315 Pvt LL/T UD Post Judgmt Mx to Set Aside,,
607200,3/23/2015,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,,Yes,No,,English,F,Black/African American,S,No,Yes,Yes,Yes,Yes,Could Not Determine,125.31,18960,Other/Unknown,1,1,2,64,Senior (60+),,San Mateo,94403,6105 Sec. 8 UD Business decision,6106 Sec. 8 Change in terms,
607701,6/4/2013,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,,Yes,No,,English,M,White,D,No,No,Unknown,Unknown,Unknown,Retired,151.48,16920,Employment or Self-Employment,1,0,1,60,Senior (60+),601 Educated clients on rights,San Mateo,94401,,,
608501,7/12/2013,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,,Yes,No,,English,M,White,S,No,Yes,Yes,Unknown,Yes,Not Employed,141.59,15816,SSDI,1,0,1,61,Senior (60+),601 Educated clients on rights,San Mateo,94403,,,
610400,7/11/2014,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,,Yes,No,,English,F,White,S,No,No,Unknown,Yes,Unknown,Employed,94.29,18000,Employment or Self-Employment,1,2,3,27,Adult,601 Educated clients on rights,Redwood City,94063,6305 Pvt LL/T Habitability,,
612000,5/9/2014,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,,Yes,No,,English,M,White,S,No,No,Unknown,Unknown,Unknown,Could Not Determine,29.76,3324,General Assistance,1,0,1,52,Adult,601 Educated clients on rights,Menlo Park,94025,6117 HUD LL violations/harassment,,
612000,4/13/2015,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,Pay and stay,Yes,No,,English,F,Black/African American,S,No,No,Unknown,Yes,Unknown,Could Not Determine,110.87,12384,SSI,1,Unknown,1,52,Adult,604 Prevented illegal eviction (non-UD),East Palo Alto,94303,,,
612000,1/25/2013,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,,Yes,No,,English,F,Black/African American,S,No,Yes,Yes,Unknown,Unknown,Not Employed,68.53,10368,SSI,2,0,2,60,Senior (60+),616 Other favorable outcome,East Palo Alto,94303,6910 Rent Control/Eviction Control [EPA],,
Unknown,2/24/2015,,6101 Sec. 8 Eviction notice N/P Rent,Notice,Cause - N/P,,Yes,No,,English,F,Black/African American,S,No,No,Unknown,Yes,Unknown,Could Not Determine,0.00,0,Other/Unknown,1,1,2,35,Adult,601 Educated clients on rights,San Bruno,94066,,,
600600,6/15/2015,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,M,Black/African American,W,No,Yes,Yes,Unknown,Unknown,Could Not Determine,14.29,1596,General Assistance,1,0,1,51,Adult,601 Educated clients on rights,Daly City,94014,,,
600700,8/25/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,M,Other,D,No,Yes,Yes,Unknown,Unknown,Not Employed,92.39,10320,Social Security Benefits (All Types),1,0,1,42,Adult,601 Educated clients on rights,Daly City,94014,,,
601300,7/25/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,Move,Yes,No,,English,F,Black/African American & White,S,No,No,Unknown,Yes,Unknown,Employed,8.32,1326,Employment or Self-Employment,1,1,2,26,Adult,602 Extended time in home before eviction,Daly City,94014,,,
601603,10/7/2013,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,Move,Yes,No,,English,F,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Not Employed,93.71,21600,Employment or Self-Employment,3,1,4,55,Adult,602 Extended time in home before eviction,Daly City,94015,,,
601605,12/10/2013,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,F,Black/African American,Unknown,No,No,Unknown,Yes,Unknown,Employed,88.38,16872,Employment or Self-Employment,1,2,3,34,Adult,601 Educated clients on rights,Daly City,94015,,,
602200,4/11/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,M,White,W,No,No,Unknown,Unknown,Unknown,Not Employed,119.03,13296,SSI,1,Unknown,1,59,Adult,601 Educated clients on rights,South San Francisco,94080,6610 Discrim Disability failure to accommodate,,
602300,9/16/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,Pay and stay,Yes,No,,English,F,White,S,No,Yes,Yes,Yes,Unknown,Could Not Determine,0.00,Unknown,SSI,1,0,1,42,Adult,604 Prevented illegal eviction (non-UD),South San Francisco,94080,,,
602600,12/1/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,M,White,D,No,Yes,Yes,Unknown,Unknown,Employed,166.56,25200,Employment or Self-Employment,2,0,2,56,Adult,601 Educated clients on rights,South San Francisco,94080,,,
603300,4/22/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,F,White,W,No,Yes,Yes,Yes,Unknown,Not Employed,96.69,10800,Social Security Benefits (All Types),1,0,1,59,Adult,601 Educated clients on rights,Pacifica,94044,,,
603300,6/2/2015,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,German,F,White,W,No,Yes,Yes,Yes,Yes,Could Not Determine,139.66,15600,Social Security Benefits (All Types),1,0,1,76,Senior (60+),,Pacifica,94044,,,
604101,4/18/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,Move,Yes,No,,English,F,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Not Employed,0.00,0,Not Applicable,2,1,3,55,Adult,610 UD-settlement move out,San Bruno,94066,,,
604102,5/12/2015,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,F,Black/African American & White,S,No,No,Unknown,Unknown,Unknown,Could Not Determine,85.10,12876,State Disability Insurance (SDI),2,0,2,51,Adult,601 Educated clients on rights,San Bruno,94066,,,
604102,3/19/2013,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,Move,Yes,No,,English,M,Black/African American,D,Yes,Yes,Yes,Unknown,Unknown,Not Employed,42.97,4800,General Assistance,1,0,1,56,Adult,610 UD-settlement move out,San Bruno,94066,,,
604102,10/16/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,Pay and stay,Yes,No,,English,F,White,S,No,Yes,Yes,Unknown,Unknown,Not Employed,181.82,27508.8,Employment or Self-Employment,2,0,2,60,Senior (60+),612 UD-settlement probationary tenancy,San Bruno,94066,,,
604400,4/27/2015,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,F,Hispanic & Other,S,No,No,Unknown,Yes,Unknown,Could Not Determine,85.94,9600,Employment or Self-Employment,1,0,1,29,Adult,601 Educated clients on rights,Millbrae,94030,,,
604400,5/9/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,Pay and stay,Yes,No,,English,M,Black/African American,S,No,Yes,Yes,Unknown,Unknown,Not Employed,94.22,10524,SSI,1,0,1,29,Adult,604 Prevented illegal eviction (non-UD),Millbrae,94030,,,
606000,12/23/2013,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,Spanish,F,Hispanic & Other,S,No,Yes,Yes,Unknown,Unknown,Employed,116.20,26784,Employment or Self-Employment,3,1,4,39,Adult,601 Educated clients on rights,San Mateo,94401,,,
606100,5/4/2015,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,Move,Yes,No,,English,F,Hispanic & White,S,No,Yes,Yes,Yes,Unknown,Could Not Determine,115.70,12924,Social Security Benefits (All Types),1,0,1,53,Adult,602 Extended time in home before eviction,San Mateo,94401,,,
