"","frequency","pct"
"Redwood City",735,0.233704292527822
"East Palo Alto",587,0.18664546899841
"Daly City",514,0.163434022257552
"San Mateo",338,0.107472178060413
"South San Francisco",235,0.0747217806041336
"San Bruno",157,0.0499205087440382
"Menlo Park",106,0.0337042925278219
"Pacifica",97,0.0308426073131955
"Burlingame",71,0.0225755166931638
"Belmont",48,0.0152623211446741
"Foster City",42,0.0133545310015898
"Millbrae",42,0.0133545310015898
"San Carlos",36,0.0114467408585056
"Half Moon Bay",24,0.00763116057233704
"Brisbane",23,0.00731319554848967
"El Granada",10,0.00317965023847377
"Colma",9,0.00286168521462639
"Palo Alto",8,0.00254372019077901
"San Francisco",7,0.00222575516693164
"La Honda",6,0.00190779014308426
"Mountain View",6,0.00190779014308426
"Sunnyvale",5,0.00158982511923688
"Montara",4,0.00127186009538951
"Moss Beach",4,0.00127186009538951
"",3,0.00095389507154213
"San Gregorio",3,0.00095389507154213
"San Jose",3,0.00095389507154213
"E. Palo Alto",2,0.000635930047694754
"Fremont",2,0.000635930047694754
"Hillsborough",2,0.000635930047694754
"Pescadero",2,0.000635930047694754
"Antioch",1,0.000317965023847377
"Burlingame ",1,0.000317965023847377
"Daly City, CA",1,0.000317965023847377
"Davis",1,0.000317965023847377
"Dublin",1,0.000317965023847377
"E. palo Alto",1,0.000317965023847377
"East palo Alto",1,0.000317965023847377
"East PAlo Alto",1,0.000317965023847377
"Fairfield",1,0.000317965023847377
"Portola Valley",1,0.000317965023847377
"Rancho Cordova",1,0.000317965023847377
"Redwood CIty",1,0.000317965023847377
"Santa Clara",1,0.000317965023847377
"Woodside",1,0.000317965023847377
