"","frequency","pct"
"English",1741,0.553577106518283
"Spanish",1121,0.356438791732909
"English ",117,0.0372019077901431
"Tagalog",58,0.0184419713831479
"Other",41,0.0130365659777424
"Unknown",33,0.0104928457869634
"Mandarin",6,0.00190779014308426
"Tongan",6,0.00190779014308426
"Russian",4,0.00127186009538951
"Cantonese",3,0.00095389507154213
"Chinese",3,0.00095389507154213
"French",2,0.000635930047694754
"Egyptian ",1,0.000317965023847377
"German",1,0.000317965023847377
"Greek or Turkish",1,0.000317965023847377
"Greek/Turkish",1,0.000317965023847377
"Japanese",1,0.000317965023847377
"Not Applicable (business, e.g.)",1,0.000317965023847377
"Samoan",1,0.000317965023847377
"Sign Language",1,0.000317965023847377
"Tagolog",1,0.000317965023847377
"Vietnamese",1,0.000317965023847377
