"","frequency","pct"
"Hispanic & Other",1445,0.459459459459459
"White",655,0.208267090620032
"Black/African American",283,0.0899841017488076
"Asian: Filipino",161,0.0511923688394277
"Other",98,0.0311605723370429
"Hispanic & White",96,0.0305246422893482
"Native Hawaiian/Pacific Islander: Other Pacific Islander",70,0.0222575516693164
"Asian: Unspecified",64,0.0203497615262321
"Black/African American & White",56,0.0178060413354531
"Unknown",46,0.0146263910969793
"Asian: Chinese",26,0.0082670906200318
"American Indian/Alaska Native",18,0.00572337042925278
"Native Hawaiian/Pacific Islander: Unspecified",18,0.00572337042925278
"Asian: Other",16,0.00508744038155803
"American Indian/Alaska Native & White",13,0.0041335453100159
"Asian & White",11,0.00349761526232114
"Asian: Japanese",10,0.00317965023847377
"Hispanic & Black/African American",9,0.00286168521462639
"American Indian/Alaska Native & Black/African American",6,0.00190779014308426
"Native Hawaiian/Pacific Islander: Hawaiian",6,0.00190779014308426
"Hispanic & American Indian/Alaska Native",5,0.00158982511923688
"Hispanic & American Indian/Alaska Native & White",5,0.00158982511923688
"Native Hawaiian/Pacific Islander: Guamanian",5,0.00158982511923688
"Native Hawaiian/Pacific Islander: Samoan",4,0.00127186009538951
"Asian: Asian Indian",3,0.00095389507154213
"Black/African American & American Indian/Alaska Native & White",3,0.00095389507154213
"Asian: Korean",2,0.000635930047694754
"Hispanic & American Indian/Alaska Native & Black/African American",2,0.000635930047694754
"Hispanic & Asian",2,0.000635930047694754
"Hispanic & Black/African American & White",2,0.000635930047694754
"Asian: Cambodian",1,0.000317965023847377
"Asian: Vietnamese",1,0.000317965023847377
"Hispanic",1,0.000317965023847377
"Hispanic & Native Hawaiian/Pacific Islander",1,0.000317965023847377
"Unspecified",1,0.000317965023847377
